Property Address,Property Name,Star Rating,Energy Star,LEED Certified,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,For Sale Price,For Sale Status,Year Built,Year Renovated,Number Of Stories,$Price/Unit,Cap Rate,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Asking/SF,Avg Effective/Unit,Avg Effective/SF,Avg Concessions %,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Rent Type,Affordable Type,Market Segment,Parking Spaces/Unit,Number Of Parking Spaces,Days On Market,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,All-Inclusive,All-Suites,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Average Weighted Rent,Avg Asking/Bed,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Brand,Building Class,Building Operating Expenses,Building Park,Building Tax Expenses,Ceiling Ht,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Constr Status,Construction Begin,Construction Material,Continent,Core Factor,Country,Cross Street,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Exp Year,Features,Fema Flood Zone,Flood Risk Area,For Sale Price/Room,Four Bedroom Asking Rent/Bed,Four Bedroom Asking Rent/SF,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF,Four Bedroom Concessions %,Four Bedroom Effective Rent/Bed,Four Bedroom Effective Rent/SF,Four Bedroom Effective Rent/Unit,Four Bedroom Vacancy %,Four Bedroom Vacant Units,Fund Name,Gas,Heating,Hotel Class,Hotel Grade,Hotel Location Type,Hotel Open Date,Hotel Operator,Land Area (AC),Land Area (SF),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Max Building Contiguous Space,Max Contig Mtg Space,Max Floor Contiguous Space,Month Built,Month Renovated,Mtg Rooms,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number of Beds,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Studios Units,Office Space,One Bedroom Asking Rent/Bed,One Bedroom Asking Rent/SF,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,One Bedroom Concessions %,One Bedroom Effective Rent/Bed,One Bedroom Effective Rent/SF,One Bedroom Effective Rent/Unit,One Bedroom Vacancy %,One Bedroom Vacant Units,Operation Type,Operational Status,Ops Expense,Ops Expense Per SF,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parent Company,Parking Ratio,Parking Spaces/Room,Percent Leased,Power,Pre-Leasing,Primary Agent Name,Primary Corridors,Property Location,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Proposed Land Use,Rail Lines,Recorded Owner Address,Recorded Owner City State Zip,Recorded Owner Contact,Recorded Owner Name,Recorded Owner Phone,Rent/SF/Yr,Restaurant,Rooms,Sale Company Address,Sale Company City State Zip,Sale Company Contact,Sale Company Fax,Sale Company Name,Sale Company Phone,Sales Company,Sales Contact,Sales Contact Phone,Scale,Services,Sewer,Smallest Available Space,Sprinklers,Studio Asking Rent/Bed,Studio Asking Rent/SF,Studio Asking Rent/Unit,Studio Avg SF,Studio Concessions %,Studio Effective Rent/Bed,Studio Effective Rent/SF,Studio Effective Rent/Unit,Studio Vacancy %,Studio Vacant Units,Subcontinent,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Tax Year,Taxes Per SF,Taxes Total,Tenancy,Three Bedroom Asking Rent/Bed,Three Bedroom Asking Rent/SF,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Three Bedroom Concessions %,Three Bedroom Effective Rent/Bed,Three Bedroom Effective Rent/SF,Three Bedroom Effective Rent/Unit,Three Bedroom Vacancy %,Three Bedroom Vacant Units,Total Available Space (SF),Total Buildings,Total Mtg Space,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,True Owner Address,True Owner City State Zip,True Owner Contact,True Owner Name,True Owner Phone,Two Bedroom Asking Rent/Bed,Two Bedroom Asking Rent/SF,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Two Bedroom Concessions %,Two Bedroom Effective Rent/Bed,Two Bedroom Effective Rent/SF,Two Bedroom Effective Rent/Unit,Two Bedroom Vacancy %,Two Bedroom Vacant Units,Typical Floor Size,University,Water,Zoning
9239 Amberglen Blvd,Springs at Lakeline,4,,,Existing,328,Garden,34458,Apartments,Austin,Anderson Mill,Austin,TX,78729,Williamson,,N,2017,,2,,,3.7,975.00,"1,872",1.92,"1,862",1.91,0.50,13.41,36.59,40.85,9.15,,Market,,All,,,0,12/20/2019,48491C0610F,48491C,0610F,Yes,100-year Floodplain,No,No,"24 Hour Access, Air Conditioning, Clubhouse, Fitness Center, Pool, Property Manager on Site, Corporate Suites, Gated, Car Wash Area, Pet Play Area, Yard, Pet Care, Breakfast Nook, Patio, Smoke Free",,,,-,,,,,,,,,A,,,,,Lakeline Station,2.83,,,Existing,Feb 2017,,Americas,,United States,,,,,0,,,"24 Hour Access, Air Conditioning, Clubhouse, Fitness Center, Pool, Property Manager on Site, Corporate Suites, Gated, Car Wash Area, Pet Play Area, Yard, Pet Care, Breakfast Nook, Patio, Smoke Free",The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,,,,,,,,,,,,,,,,,,,,22.58,983798,,,30.468075,,,,,,,-97.7705048,,,,8,,,120,134,30,,,,0,,44,,"1,642",1.97,"1,642",836,0.50,"1,634",1.96,"1,634",3.30,4,,,,,W134N8675 Executive Pky,"Menomonee Falls, WI 53051    ",Daniel Minahan,"Continental Properties Company, Inc.",2625025500,R538936,R538936,,,,,,,,,,9239 Amberglen Blvd,"Austin, TX 78729",,Continental - Springs at Lakeline,5127555949,10227722,Multi-Family,,,901 S Mopac Expy,"Austin, TX 78746",,Austin Jack Llc,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,"1,362",2.30,"1,362",592.,0.50,"1,354",2.29,"1,354",4.60,2,North America,,,0,Northwest Austin,,,,,802,1.74,"2,407",1382,0.50,798,1.73,"2,395",3.30,1,,15,,,,,,,,W134N8675 Executive Pky,"Menomonee Falls, WI 53051    ",Daniel Minahan,"Continental Properties Company, Inc.",2625025500,"1,062",1.87,"2,123",1136,0.50,"1,056",1.86,"2,112",3.70,5,15162,,,
8100 W Anderson Mill Rd,The Royce at 8100,4,,,Existing,376,Garden,303280,Apartments,Austin,Anderson Mill,Austin,TX,78729,Williamson,,N,2015,,3,,,3.1,806.00,"1,555",1.93,"1,548",1.92,0.50,,71.28,28.72,,,Market,,All,,,0,12/20/2019,48491C0610F,48491C,0610F,Yes,100-year Floodplain,No,No,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Pool, Property Manager on Site, Grill, Pet Play Area, Recycling, Wheelchair Accessible (Rooms)",,,,-,,,,,,,,,A,2021 Tax @ $3955.85/Unit,,2021 Tax @ $3955.85/Unit,,Lakeline Station,3.46,,,Existing,Nov 2014,Wood Frame,Americas,,United States,,Alliance Residential Company,,,0,,,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Pool, Property Manager on Site, Grill, Pet Play Area, Recycling, Wheelchair Accessible (Rooms)",The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,,,,,,,,,,,,,,,,,,,,16.96,738865,12/9/2020,"73,500,000",30.4618076,,,,,,,-97.7573386,,,,6,,,268,108,,,,,0,,,,"1,392",2.06,"1,392",674,0.50,"1,386",2.05,"1,386",3.00,8,,,,,1124 I-35 S,"Austin, TX 78704-2614",Ron Kowal,Housing Authority of the City of Austin,5124774488,R528025,R528025,,,,,,,,,,8100 W Anderson Mill Rd,"Austin, TX 78729",,AMP - The Royce at 8100,5122888526,9446467,Multi-Family,,,1124 S IH 35,"Austin, TX 78704    ",,"Broadstone Apartment Owner, LLC",,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Northwest Austin,2021,4.9,1487400.82,,,,,,,,,,,,,16,,,,,,,,1124 I-35 S,"Austin, TX 78704-2614",Ron Kowal,Housing Authority of the City of Austin,5124774488,980,1.73,"1,960",1135,0.50,975,1.72,"1,951",2.80,3,101093,,,PUD
12100 Archeleta Blvd,Arbor View,3,,,Existing,151,Mid-Rise,143756,Apartments,Austin,Circle C Ranch,Austin,TX,78739-4406,Travis,,N,2021,,4,,,36.5,778.00,"1,795",2.31,"1,780",2.29,0.90,,72.85,27.15,,,Market,,Senior,,158,0,01/01/1900,,,,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Clubhouse, Concierge, Fitness Center, Picnic Area, Pool, Spa, Grill, Media Center/Movie Theatre, Pet Play Area, Planned Social Activities, Putting Greens, Walking/Biking Trails, Wi-Fi, Conference Rooms, Elevator, Lounge, Maintenance on site, Pet Washing Station",,,,-,,,,,,,,,B,2021 Tax @ $3481.38/Unit,,2021 Tax @ $3481.38/Unit,,Austin-Bergstrom International,19.19,,,Existing,Jun 2019,,Americas,,United States,,,,,0,,,"Air Conditioning, Clubhouse, Concierge, Fitness Center, Picnic Area, Pool, Spa, Grill, Media Center/Movie Theatre, Pet Play Area, Planned Social Activities, Putting Greens, Walking/Biking Trails, Wi-Fi, Conference Rooms, Elevator, Lounge, Maintenance on site, Pet Washing Station","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,11.99,522302,3/25/2022,,30.1710571,,,,,,,-97.8923649,,,,3,,,110,41,,,,,0,,,,"1,532",2.22,"1,532",691,0.90,"1,519",2.20,"1,519",36.40,40,,,,,2500 Bee Caves Rd Suite # Bldg 1 Suite 380,"Austin, TX 78746-5869",,Sparrow Capital Partners LLC,5129826944,04304402020000,04304402020000,,1.09,,,,,,,,12100 Archeleta Blvd,"Austin, TX 78739-4406",,Sparrow - Arbor View,5126466700,11448084,Multi-Family,,,,,,"CPI Sparrow Arbor View Owner, LLC",,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Southwest Austin,2021,3.66,525688.98,,,,,,,,,,,,,5,,,,,,,,2500 Bee Caves Rd Suite # Bldg 1 Suite 380,"Austin, TX 78746-5869",,Sparrow Capital Partners LLC,5129826944,"1,251",2.47,"2,502",1014,0.90,"1,240",2.45,"2,480",36.60,15,35939,,,GO
1320 Art Dilly Dr,RBJ Tower II,4,,,Under Construction,181,Low-Rise,230000,Apartments,Austin,East Cesar Chavez,Austin,TX,78702-5216,Travis,,N,2022,,1,,,,616.00,,,,,0.00,13.26,62.43,22.10,2.21,,Affordable,Rent Restricted,Senior,0.00,,0,01/22/2020,48453C0465K,48453C,0465K,No,500-year Floodplain,No,No,"Air Conditioning, Courtyard, Fitness Center, Pet Play Area, Wheelchair Accessible (Rooms)",,,Davies Collaborative,-,,,,,,,,,B,,The Hatchery,,,Plaza Saltillo Station,1.21,,,Under Construction,Jan 2020,,Americas,,United States,,Southwest Strategies Group,,,0,,,"Air Conditioning, Courtyard, Fitness Center, Pet Play Area, Wheelchair Accessible (Rooms)","Area of minimal flood hazard, usually depicted on FIRMs as above the 500-year flood level.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,18.00,784080,,,30.2532028,,,,,,,-97.7329872,,,,12,,,113,40,4,,,,0,,24,,,,,,,,,,,,,,,,222 West Ave Suite # 200,"Austin, TX 78701",,Southwest Strategies Group,5124588153,02000501070000,02000501070000,,,,,,,,,,1320 Art Dilly Dr,"Austin, TX 78702",,DMA - RBJ Tower II,5123283232,9442500,Multi-Family,,,21 Waller St,"Austin, TX 78702",,Austin Geriatric Center Inc,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,468.,,,,,,,North America,,,0,East Austin,,,,,,,,1505,,,,,,,,1,,,,,,,,222 West Ave Suite # 200,"Austin, TX 78701",,Southwest Strategies Group,5124588153,,,,,,,,,,,202400,,,
11001 Austin Ln,Maravilla at the Domain - Independent Living,5,,LEED Interiors - Silver,Existing,239,Mid-Rise,370000,Apartments,Austin,Domain,Austin,TX,78758,Travis,,N,2019,,11,,,45.1,760.00,"4,828",6.35,"4,780",6.28,1.00,,100.00,,,,Market,,Senior,,,0,01/01/1900,,,,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Courtyard, Fitness Center, LEED Certified - Silver, Media Center/Movie Theatre",,,,-,,,,,,,,,A,2021 Tax @ $10714.08/Unit,,2021 Tax @ $10714.08/Unit,,Kramer Station,0.83,17.00,,Existing,Apr 2017,,Americas,,United States,Domain Dr,Senior Resource Group LLC,,,0,,,"Air Conditioning, Courtyard, Fitness Center, LEED Certified - Silver, Media Center/Movie Theatre","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,3.70,161172,,,30.394807,,,,,,,-97.7252649,,,,12,,,239,,,,,,0,,,,"4,828",6.35,"4,828",761,1.00,"4,780",6.28,"4,780",45.20,108,,,,,500 Stevens Ave Suite # 100,"Solana Beach, CA 92075-2055",,Senior Resource Group LLC,8587929300,02520602060000,02520602060000,,,,,,,,,,11001 Austin Ln,"Austin, TX 78758",Joan Killebrew,Senior Resource Group LLC,5125984100,10154943,Multi-Family,,,,,,,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,North Austin,2021,6.92,2560664.75,,,,,,,,,,,,,1,,,,,,,,500 Stevens Ave Suite # 100,"Solana Beach, CA 92075-2055",,Senior Resource Group LLC,8587929300,,,,,,,,,,,73537,,,
105 N Austin Ave,Two Rivers,4,,,Existing,179,Garden,176875,Apartments,Austin,Georgetown-Leander,Georgetown,TX,78626-4206,Williamson,,N,2012,,3,,,2.6,922.00,"1,805",1.96,"1,797",1.95,0.40,,63.69,36.31,,,Market,,All,1.59,285,0,12/20/2019,48491C0293F,48491C,0293F,Yes,100-year Floodplain,No,No,"Air Conditioning, Clubhouse, Fitness Center, Property Manager on Site, Sauna, Spa, Package Service, Storage Space, Lounge, Maintenance on site, Sundeck, Den, Dining Room, Window Coverings",,,,-,,,,,,,,,A,2021 Tax @ $3532.00/Unit,,2021 Tax @ $3532.00/Unit,,,,,,Existing,Dec 2011,Masonry,Americas,,United States,,Larry Peel Company,,,0,,,"Air Conditioning, Clubhouse, Fitness Center, Property Manager on Site, Sauna, Spa, Package Service, Storage Space, Lounge, Maintenance on site, Sundeck, Den, Dining Room, Window Coverings",The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,,,,,,,,,,,,,,,,,,,,18.17,791485,9/30/2021,,30.6446263,,,,,,,-97.6767696,,,,12,,,114,65,,,,,0,,,,"1,679",2.18,"1,679",770,0.40,"1,671",2.17,"1,671",2.60,3,,,,,14402 Franklin Ave,"Tustin, CA 92780-7013",,Young's Market Company,7143684615,R512760,R512762,,1.61,,,,,,,,105 N Austin Ave,"Georgetown, TX 78626-4206",,RPM - Two Rivers,5122405401,8976015,Multi-Family,,,15 Enterprise,"Aliso Viejo, CA 92656-2652",,Two Rivers Acquisition Co Reta,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Georgetown-Leander,2021,3.57,632228.17,,,,,,,,,,,,,12,,,,,,,,14402 Franklin Ave,"Tustin, CA 92780-7013",,Young's Market Company,7143684615,"1,014",1.70,"2,027",1191,0.40,"1,009",1.69,"2,018",3.10,2,58958,,,3-C-1
2601 N Austin Ave,Austin Avenue,4,,,Existing,312,Garden,275000,Apartments,Austin,Georgetown-Leander,Georgetown,TX,78626,Williamson,,N,2022,,3,,,46.8,957.00,"1,754",1.83,"1,608",1.68,8.30,,53.85,38.46,7.69,,Market,,All,,,0,12/20/2019,48491C0293F,48491C,0293F,No,100-year and 500-year Floodplain,No,No,"Clubhouse, Fitness Center, Pool, Package Service, Pet Play Area, Conference Rooms, Zen Garden",,,,-,,,,,,,,,A,2021 Tax @ $19.53/Unit,,2021 Tax @ $19.53/Unit,,Killeen Municipal,38.10,,,Existing,Jun 2020,,Americas,,United States,,Wood Partners,,,0,,,"Clubhouse, Fitness Center, Pool, Package Service, Pet Play Area, Conference Rooms, Zen Garden","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,24.34,1060099,,,30.6694317,,,,,,,-97.6636184,,,,2,,,168,120,24,,,,0,,,,"1,520",2.07,"1,520",733,8.30,"1,394",1.90,"1,394",47.00,79,,,,,3715 Northside Pky NW Suite # 600,"Atlanta, GA 30327-2806",,Wood Partners,4049659965,R605640,R605640,,,,,,,,,,2601 N Austin Ave,"Georgetown, TX 78626",,Wood - Austin Avenue,2145930218,11414435,Multi-Family,,,8 Greenway Plz,"Houston, TX 77046",,Alta Georgetown LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Georgetown-Leander,2021,0.02,6093.17,,875,1.68,"2,625",1560,8.30,802,1.54,"2,406",45.80,11,,5,,,,,,,,3715 Northside Pky NW Suite # 600,"Atlanta, GA 30327-2806",,Wood Partners,4049659965,953,1.66,"1,907",1152,8.30,874,1.52,"1,748",46.70,56,91667,,,
5608 Avenue F,West Koenig Flats,4,,,Existing,210,Mid-Rise,195510,Apartments,Austin,North Loop,Austin,TX,78751,Travis,,N,2015,,4,,,7.2,806.00,"2,226",2.76,"2,209",2.74,0.80,,72.38,22.86,4.76,,Market,,All,,,0,01/06/2016,48453C0455J,48453C,0455J,No,100-year and 500-year Floodplain,No,No,"24 Hour Access, Business Center, Clubhouse, Courtyard, Fitness Center, Picnic Area, Pool, Gameroom, Grill, Media Center/Movie Theatre, Package Service, Pet Play Area, Trash Pickup - Door to Door, Wi-Fi, Pet Care, Sundeck, Patio, Warming Drawer",,,,-,,,,,,,,,A,2021 Tax @ $4448.03/Unit,,2021 Tax @ $4448.03/Unit,,Highland Station,1.07,,,Existing,Jul 2014,Steel,Americas,,United States,,Stillwater Capital Investments,,,0,,,"24 Hour Access, Business Center, Clubhouse, Courtyard, Fitness Center, Picnic Area, Pool, Gameroom, Grill, Media Center/Movie Theatre, Package Service, Pet Play Area, Trash Pickup - Door to Door, Wi-Fi, Pet Care, Sundeck, Patio, Warming Drawer","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,2.37,103237,11/16/2016,"39,600,000",30.3218559,,,,,,,-97.719387,,,,10,,,152,48,10,,,,2,,,,"2,162",3.13,"2,162",690,0.80,"2,145",3.11,"2,145",7.20,11,,,,,2 International Pl,"Boston, MA 02110-4104",Brian Shuell,Eaton Vance Real Estate Investment Group,6174828260,228148,228148,,,,,,,,,,5608 Avenue F,"Austin, TX 78751",,Greystar - West Koenig Flats,5123740733,9736842,Multi-Family,,,2 International Pl,"Boston, MA 02110-4104",,Bel Koenig Flats LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Midtown Austin,2021,4.78,934085.97,,"1,001",2.50,"3,003",1200,0.80,993,2.48,"2,979",10.00,1,,1,,,,,,,,2 International Pl,"Boston, MA 02110-4104",Brian Shuell,Eaton Vance Real Estate Investment Group,6174828260,"1,135",2.07,"2,269",1095,0.80,"1,126",2.06,"2,251",6.30,3,40040,,,
12600 Avery Ranch Blvd,Muir Lake,4,,,Existing,332,Garden,338434,Apartments,Austin,Cedar Park,Cedar Park,TX,78613,Williamson,,N,2014,,3,,,9.4,"1,049.00","1,851",1.76,"1,833",1.75,1.00,,39.46,60.54,,,Market,,All,,,0,01/01/1900,,,,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Pool, Property Manager on Site, Sauna, Spa, Grill, Package Service, Pet Play Area, Volleyball Court, Storage Space, Lounge, Maintenance on site, Online Services, Pond, Sundeck, Den, Dining Room, Island Kitchen, Window Coverings",,,,-,,,,,,,,,A,2021 Tax @ $6129.36/Unit,,2021 Tax @ $6129.36/Unit,,Lakeline Station,1.90,,,Existing,May 2013,Masonry,Americas,,United States,,Larry Peel Company,,,0,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Pool, Property Manager on Site, Sauna, Spa, Grill, Package Service, Pet Play Area, Volleyball Court, Storage Space, Lounge, Maintenance on site, Online Services, Pond, Sundeck, Den, Dining Room, Island Kitchen, Window Coverings","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,40.57,1767229,6/3/2021,"80,000,000",30.4846066,,,,,,,-97.8094501,,,,10,,,131,201,,,,,0,,,,"1,546",1.99,"1,546",777,1.00,"1,531",1.97,"1,531",9.20,12,,,,,2630 Exposition Blvd Suite # 214,"Austin, TX 78703    ",William Gottfried,Old Three Hundred Capital,5123877186,R577684,R577684,,,,,,,,,,12600 Avery Ranch Blvd,"Cedar Park, TX 78613",,Regency - Muir Lake,5122588900,8339830,Multi-Family,,,2630 Exposition Blvd Suite # 214,"Austin, TX 78703",,12600 Avery Ranch Property LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Cedar Park,2021,6.01,2034946.00,,,,,,,,,,,,,20,,,,,,,,2630 Exposition Blvd Suite # 214,"Austin, TX 78703    ",William Gottfried,Old Three Hundred Capital,5123877186,"1,025",1.67,"2,049",1226,1.00,"1,015",1.66,"2,030",9.50,19,112811,,,PD
13100 Avery Ranch Blvd,Aura Avery Ranch,4,,,Existing,339,Low-Rise,411881,Apartments,Austin,Avery Ranch,Austin,TX,78717,Williamson,,N,2022,,3,,,11.9,879.00,"2,011",2.29,"2,008",2.28,0.10,,62.83,32.45,4.72,,Market,,All,0.00,,0,01/01/1900,,,,No,100-year and 500-year Floodplain,No,No,"Clubhouse, Courtyard, Fitness Center, Pool, Pet Play Area",,,Davies Collaborative,-,,,,,,,,,B,2021 Tax @ $472.36/Unit,,2021 Tax @ $472.36/Unit,,Lakeline Station,2.09,,,Existing,Dec 2020,Wood Frame,Americas,,United States,,Trinsic Residential Group,,,0,,,"Clubhouse, Courtyard, Fitness Center, Pool, Pet Play Area","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,17.16,747490,,,30.4893063,,,,,,,-97.8019035,,,,1,,,213,110,16,,,,0,,,,"1,711",2.39,"1,711",716,0.00,"1,711",2.39,"1,711",11.70,25,,,,,8235 Douglas Ave Suite # 950,"Dallas, TX 75225-6015",,Trinsic Residential Group,2144627190,R598865,R598865,,,,,,,,,,13100 Avery Ranch Blvd,"Austin, TX 78717",,Avenue5 - Aura Avery Ranch,8442172523,11469466,Multi-Family,,,,,,,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Cedar Park,2021,0.39,160131.54,,943,1.99,"2,829",1422,2.20,922,1.95,"2,767",12.50,2,,3,,,,,,,,8235 Douglas Ave Suite # 950,"Dallas, TX 75225-6015",,Trinsic Residential Group,2144627190,"1,237",2.21,"2,474",1117,0.00,"1,237",2.21,"2,474",11.80,13,137294,,,
1700 Bagdad Rd,Tuckaway Apartment Homes,4,,,Existing,256,Garden,241872,Apartments,Austin,Cedar Park,Cedar Park,TX,78613-6416,Williamson,,N,2017,,3,,,2.0,"1,027.00","1,414",1.38,"1,414",1.38,0.00,,9.38,81.25,9.38,,Affordable,Rent Restricted,All,,,0,12/20/2019,48491C0464F,48491C,0464F,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Gated, Pet Play Area, Bicycle Storage, Porch, Window Coverings",,,,-,,,,,,,,,B,2021 Tax @ $1130.73/Unit,,2021 Tax @ $1130.73/Unit,,Leander Station,5.24,,,Existing,Feb 2017,,Americas,,United States,,Pedcor Companies,,,0,,,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Gated, Pet Play Area, Bicycle Storage, Porch, Window Coverings","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,17.16,747315,,,30.5266452,,,,,,,-97.8411805,,,,8,,,24,208,24,,,,0,,,,"1,178",1.59,"1,178",740,0.00,"1,178",1.59,"1,178",0.00,0,,,,,730 3rd Ave SW,"Carmel, IN 46032-2036",,Pedcor Companies,3175870320,R542587,R542587,,,,,,,,,,1700 Bagdad Rd,"Cedar Park, TX 78613-6416",,Pedcor Management - Tuckaway Apartment Homes,5123790343,10213544,Multi-Family,,,PO BOX 574,"CARMEL, IN 46082",,Pedcor Investments-2015-Xcv,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Cedar Park,2021,1.2,289467.43,,546,1.29,"1,638",1270,0.00,546,1.29,"1,638",0.00,0,,12,,,,,,,,730 3rd Ave SW,"Carmel, IN 46032-2036",,Pedcor Companies,3175870320,707,1.37,"1,415",1032,0.00,707,1.37,"1,415",1.90,4,10159,,,
665 N Bagdad Rd,The Conley,4,,,Existing,259,Garden,238766,Apartments,Austin,Georgetown-Leander,Leander,TX,78641,Williamson,,N,2020,,3,,,4.6,915.00,"1,776",1.94,"1,776",1.94,0.00,,62.93,30.12,6.95,,Market,,All,,,0,12/20/2019,48491C0455F,48491C,0455F,No,100-year and 500-year Floodplain,No,No,"Clubhouse, Fitness Center, Pool, Cabana, Grill, Package Service, Pet Play Area, Conference Rooms, Lounge, Freezer, Island Kitchen, Mud Room, Patio",,,Davies Collaborative,-,,,,,,,,,A,2021 Tax @ $3491.66/Unit,,2021 Tax @ $3491.66/Unit,,Leander Station,1.81,,,Existing,Apr 2019,Wood Frame,Americas,,United States,,Stillwater Capital Investments,,,0,,,"Clubhouse, Fitness Center, Pool, Cabana, Grill, Package Service, Pet Play Area, Conference Rooms, Lounge, Freezer, Island Kitchen, Mud Room, Patio","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,12.08,526205,3/19/2021,"45,170,946",30.5784721,,,,,,,-97.8738939,,,,6,,,163,78,18,,,,0,,,,"1,526",2.08,"1,526",732,0.00,"1,526",2.08,"1,526",4.90,8,,,,,4145 Travis St Suite # 300,"Dallas, TX 75204-1840",Aaron Sherman,Stillwater Capital Investments,9726296028,R538901,R538901,,,,,,,,,,665 N Bagdad Rd,"Leander, TX 78641",,Portico - The Conley,5128669296,11027610,Multi-Family,,,8950 SW 74th Ct Suite # 1808,"Miami, FL 33156    ",,Conley Leander Apartments LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,Yes,,,,,,,,,,,North America,,,0,Georgetown-Leander,2021,3.79,904341.10,,787,1.56,"2,362",1511,0.00,787,1.56,"2,362",5.60,1,,11,,,,,,,,4145 Travis St Suite # 300,"Dallas, TX 75204-1840",Aaron Sherman,Stillwater Capital Investments,9726296028,977,1.69,"1,955",1160,0.00,977,1.69,"1,955",5.10,4,51914,,,"MF, Leander"
